"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
"###"," S ","###","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","###"
"###","   ","###","   ","###","   ","###","###","###","   ","###","###","   ","###","###","   ","###"
"###","   ","###","   ","###","###","###","###","###","   ","   ","###","   ","   ","   ","   ","###"
"###","   ","###","   ","###","   ","   ","###","###","###","   ","###","###","###","###","   ","###"
"###","   ","###","   ","###","###","   ","###","   ","   ","   ","###","   ","   ","###","   ","###"
"###","   ","###","   ","###","###","   ","###","   ","###","###","###","   ","###","###","   ","###"
"###","   ","###","   ","   ","   ","   ","###","   ","###","   ","###","   ","   ","   ","   ","###"
"###","   ","###","###","###","###","###","###","   ","   ","   ","###","###","   ","###","###","###"
"###","   ","   ","   ","   ","   ","###","###","   ","###","   ","   ","###","   ","###","   ","###"
"###","###","###","###","###","   ","###","###","   ","###","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","###","###","   ","   ","###","   ","###","   ","   ","   ","###"
"###","   ","###","   ","###","   ","###","###","###","###","###","   ","###","###","###","   ","###"
"###","   ","###","   ","###","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###"
"###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###"," X ","###"
"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
