"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
"###"," O ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","   ","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","###"
"###","###","###","   ","###","###","###","###","###","   ","###","   ","###","###","###","###","###","   ","###","   ","###","   ","###"
"###","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","###"
"###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","###","###","   ","   ","   ","###"
"###","   ","###","   ","   ","   ","###","   ","###","   ","###","###","###","   ","###","   ","   ","   ","###","###","###","   ","###"
"###","   ","###","   ","###","###","###","   ","###","###","###","   ","   ","   ","###","###","###","   ","###","   ","   ","   ","###"
"###","   ","###","   ","###","   ","###","###","###","###","###","   ","###","###","###","   ","###","   ","###","   ","###","###","###"
"###","###","###","   ","###","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###"
"###","   ","   ","   ","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","###","###","###","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","   ","   ","   ","   ","###"
"###","   ","   ","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","###","   ","###","###","###","###","###","   ","###"
"###","   ","###","###","###","###","###","   ","###","   ","###","###","###","   ","###","   ","   ","   ","   ","   ","###","   ","###"
"###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","###","   ","   ","###","   ","###","###","###","   ","###","   ","###"
"###","   ","###","###","###","###","###","###","###","###","   ","###","###","   ","###","   ","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","   ","###","   ","###","   ","###","   ","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","###"
"###","###","###","###","   ","###","   ","###","   ","###","###","###","###","###","###","###","###","###","###","   ","###","   ","###"
"###","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","###"," X ","###"
"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
