"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
"###"," S ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","###","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###","   ","###"
"###","   ","###","   ","###","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","   ","   ","   ","   ","###","   ","###","   ","   ","   ","###"
"###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###","   ","###","###","###","###","###","   ","###","   ","###","###","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","   ","   ","###"
"###","###","###","###","###","###","###","###","###","   ","###","   ","###","   ","###","   ","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","###","   ","###","   ","###"
"###","   ","###","###","###","###","###","   ","###","###","###","###","###","###","###","###","###","   ","###","###","###","###","###","###","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###"
"###","###","###","   ","###","###","###","###","###","   ","###","   ","###","###","###","###","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","###","   ","###"
"###","   ","###","###","###","   ","###","   ","###","###","###","###","###","   ","###","###","###","   ","###","###","###","   ","###","###","###","   ","###","   ","###"
"###","   ","   ","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","###","###","   ","   ","###","   ","###"
"###","###","###","###","###","###","###","   ","###","   ","###","###","###","###","###","   ","###","###","###","###","###","###","###","###","   ","###","###","   ","###"
"###","   ","   ","   ","   ","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","###","   ","   ","   ","   ","###"
"###","   ","###","###","###","###","###","###","###","   ","###","###","###","###","###","###","###","   ","###","   ","###","   ","###","###","###","###","###","   ","###"
"###","   ","###","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","###","   ","###","   ","   ","   ","   ","   ","###"
"###","   ","###","   ","###","###","###","   ","###","###","###","   ","###","###","###","   ","###","   ","###","   ","###","###","###","   ","###","###","###","###","###"
"###","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###"
"###","###","###","###","###","   ","###","###","###","###","###","###","###","###","   ","###","###","   ","###","###","###","   ","###","###","###","###","###","   ","###"
"###","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","   ","###","   ","###","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","###"
"###","###","###","   ","###","   ","###","   ","###","###","###","###","   ","###","   ","###","###","###","###","   ","###","###","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###"
"###","   ","###","###","###","###","###","###","###","   ","###","###","###","###","   ","###","###","###","###","###","###","   ","###","###","###","###","###","   ","###"
"###","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","   ","###","   ","   ","###","   ","   ","   ","###","   ","   ","   ","###","   ","###","   ","###"
"###","   ","###","   ","###","   ","###","   ","###","###","###","   ","###","###","###","###","###","   ","###","   ","###","###","###","   ","###","   ","###","   ","###"
"###","   ","   ","   ","###","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","   ","###","   ","   ","   ","   ","   ","###","   ","   "," X ","###"
"###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###","###"
